crop,model,mae,rmse,mape,directional_accuracy,n_forecasts
barley,naive_last,4.14335722600064,5.229840625358904,0.029387951535533086,0.4666666666666667,16
barley,rolling_mean,4.463446015614144,5.72369599412485,0.03195970489543745,0.6666666666666666,16
barley,seasonal_naive,4.14335722600064,5.229840625358904,0.029387951535533086,0.4666666666666667,16
barley,gradient_boosting,9.30322357045955,10.582915417240072,0.06516683598897749,0.7333333333333333,16
oats,naive_last,4.901767719659975,6.285297149934887,0.03667859353393546,0.4666666666666667,16
oats,rolling_mean,5.588373816686834,6.642213987918021,0.04215922289102261,0.5333333333333333,16
oats,seasonal_naive,4.901767719659975,6.285297149934887,0.03667859353393546,0.4666666666666667,16
oats,gradient_boosting,7.6079314155187925,9.177241994290982,0.05666986729112754,0.6666666666666666,16
oilseed_rape,naive_last,12.183861904021928,16.297775821745784,0.03517368070272176,0.6,16
oilseed_rape,rolling_mean,15.919658680261772,18.520065894510704,0.04592578248827888,0.4666666666666667,16
oilseed_rape,seasonal_naive,12.183861904021928,16.297775821745784,0.03517368070272176,0.6,16
oilseed_rape,gradient_boosting,22.733986696324553,26.319145243122172,0.06443256381259835,0.7333333333333333,16
peas_field_beans,naive_last,6.952517458909192,8.652074872759075,0.029821558173703133,0.4666666666666667,16
peas_field_beans,rolling_mean,7.116834180803183,9.190623939029258,0.030600227040873725,0.6,16
peas_field_beans,seasonal_naive,6.952517458909192,8.652074872759075,0.029821558173703133,0.4666666666666667,16
peas_field_beans,gradient_boosting,11.652672357294549,14.191403344494402,0.04949336907242226,0.6666666666666666,16
potatoes,naive_last,4.2438805476642525,5.53257647337129,0.024464444784803772,0.4,16
potatoes,rolling_mean,4.307566446529815,5.256303154711059,0.024921289386015084,0.5333333333333333,16
potatoes,seasonal_naive,4.2438805476642525,5.53257647337129,0.024464444784803772,0.4,16
potatoes,gradient_boosting,7.930873275880028,9.15857908817978,0.04565409394305023,0.6666666666666666,16
wheat,naive_last,3.7864896895458493,4.933593333041686,0.02358384861740495,0.8666666666666667,16
wheat,rolling_mean,5.72841599401576,6.751727534974172,0.035762618034164965,0.8666666666666667,16
wheat,seasonal_naive,3.7864896895458493,4.933593333041686,0.02358384861740495,0.8666666666666667,16
wheat,gradient_boosting,11.550070146239127,13.134374900003191,0.07111962300501418,0.9333333333333333,16
