sharing_rule,gini,dispersion,mean_profit,min_profit
individual,0.03800766095001301,0.07021429027096354,1268.5186883346234,1127.7103384311526
equal,0.0,0.0,1268.5186883346234,1268.5186883346234
land_weighted,0.0,0.0,1268.5186883346232,1268.5186883346232
risk_adjusted,0.03384841807958689,0.06598265685104437,1268.5186883346232,1178.1090184395428
compensation,0.038499414718406656,0.07129225607850741,5362.28122347666,4779.774841860837
