crop,mean_yield,mean_price,mean_cost,mean_profit,profit_std,n_observations,share_imputed_yield
potatoes,46.518301587301586,180.2202911239161,2556.2082661633135,5818.225508455281,455.2802110437573,252,0.75
oilseed_rape,3.4168412698412696,368.45494974835555,429.44298871543674,827.5598771862038,83.83837606712204,252,0.75
wheat,8.27006746031746,169.4442875673069,664.6141492024616,734.1974869507916,86.83842017941083,252,0.75
barley,6.710940476190476,149.0031653656023,593.0403177498888,405.4772843691622,53.5476478846333,252,0.75
peas_field_beans,3.614936507936508,245.83560530005585,490.79198710335623,396.76458435870296,43.089067824240324,252,0.75
oats,5.67645634920635,138.68026818745173,531.6913193619692,254.2872173272665,46.3657605078784,252,0.75
